"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB L105",145,"U0035613","DE ST GERMAIN, H. J.","CS 1000-001","Engineering Computing","LECTURE","T1400|H1400",80
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1000-002","Engineering Computing","LABORATORY","F0835",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1000-003","Engineering Computing","LABORATORY","F0940",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1000-004","Engineering Computing","LABORATORY","F1045",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1000-005","Engineering Computing","LABORATORY","F1150",50
"WEB L105",145,"U0035613","DE ST GERMAIN, H. J.","CS 1001-001","Eng Computing MATLAB","LECTURE","T1400|H1400",80
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1001-002","Eng Computing MATLAB","LABORATORY","F0835",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1001-003","Eng Computing MATLAB","LABORATORY","F0940",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1001-004","Eng Computing MATLAB","LABORATORY","F1045",50
"WEB L226",40,"U0035613","DE ST GERMAIN, H. J.","CS 1001-005","Eng Computing MATLAB","LABORATORY","F1150",50
"WEB L103",136,"U0028988","ZACHARY, J. L.","CS 1410-001","Computer Science I","LECTURE","M1045|W1045|F1045",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-002","Computer Science I","LABORATORY","T0940",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-003","Computer Science I","LABORATORY","T1045",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-004","Computer Science I","LABORATORY","T1150",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-005","Computer Science I","LABORATORY","T1255",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-006","Computer Science I","LABORATORY","T1400",50
"WEB L120",50,"U0035613","DE ST GERMAIN, H. J.","CS 1410-010","Computer Science I","LECTURE","M0940|W0940|F0940",50
"MEB 3225",30,"U0035613","DE ST GERMAIN, H. J.","CS 1410-011","Computer Science I","LABORATORY","H1045",50
"MEB 3225",30,"U0035613","DE ST GERMAIN, H. J.","CS 1410-012","Computer Science I","LABORATORY","H1150",50
"WEB L112",60,"U0176314","FLATT, M.","CS 1410-020","Computer Science I","LECTURE","M0940|W0940|F0940",50
"MEB 3225",30,"U0176314","FLATT, M.","CS 1410-021","Computer Science I","LABORATORY","H0940",50
"WEB 1250",0,"U0031683","BRUNVAND, E. L.","CS 2000-001","Program Design C","LECTURE","M1325|W1325",80
"WEB L124",50,"U0031683","BRUNVAND, E. L.","CS 2000-002","Program Design C","LABORATORY","F0940",50
"WEB L124",50,"U0031683","BRUNVAND, E. L.","CS 2000-003","Program Design C","LABORATORY","F1255",50
"WEB L101",208,"U0031775","SIKORSKI, C.","CS 2100-001","Discrete Structures","LECTURE","T1225|H1225",80
"WEB L122",50,"U0031775","SIKORSKI, C.","CS 2100-002","Discrete Structures","DISCUSSION","F1045",50
"WEB L122",50,"U0031775","SIKORSKI, C.","CS 2100-003","Discrete Structures","DISCUSSION","F1150",50
"WEB L122",50,"U0031775","SIKORSKI, C.","CS 2100-004","Discrete Structures","DISCUSSION","F1255",50
"ANNEX 2169",28,"U0045911","ROBB, J. T.","CS 2960-001","Apple Certification","LAB/DISCUSSION","F1255",180
"WEB L130",20,"U0045911","ROBB, J. T.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","F0835",180
"WEB L124",50,"U0691110","EDWARDS, C.","CS 2964-001","LPI Level 2","LAB/DISCUSSION","W1800",180
"WEB L101",208,"U0028245","GOPALAKRISHNAN, G.","CS 3100-001","Models Of Computation","LECTURE","T1045|H1045",80
"WEB L101",208,"U0028988","ZACHARY, J. L.","CS 3500-001","Software Practice","LECTURE","T1400|H1400",80
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-002","Software Practice","DISCUSSION","W0835",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-003","Software Practice","DISCUSSION","W0940",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-004","Software Practice","DISCUSSION","W1045",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-005","Software Practice","DISCUSSION","W1150",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-006","Software Practice","DISCUSSION","W1255",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 3500-007","Software Practice","DISCUSSION","W1400",50
"M LI 1120",45,"U0319743","VAN LANGEVELD, M. C.","CS 3650-001","3D Modeling for VG&M","LECTURE","T1545",155
"M LI 1120",45,"U0319743","VAN LANGEVELD, M. C.","CS 3650-002","3D Modeling for VG&M","LECTURE","H1545",155
"WEB L110",60,"U0031683","BRUNVAND, E. L.","CS 3710-001","Computer Design Lab","LABORATORY","T1540|H1540",80
"WEB L101",208,"U0063547","JENSEN, P. A.","CS 3810-001","Computer Organization","LECTURE","T0910|H0910",80
"WEB 2250",74,"U0471866","PARKER, D.","CS 3960-001","Research Forum","SPECIAL TOPICS","M1500",80
"MEB 3147",1,"U0031683","BRUNVAND, E. L.","CS 3991-001","CE Junior Seminar","SEMINAR","T1045",50
