"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"EMCB 101",0,"U0027837","HANSCOM, D.","CP SC 1010-001","Introduction To Unix","LECTURE","M1600",60
"EMCB 101",0,"U0222355","SCHMIDT, C. M.","CP SC 1020-001","Introduction to C++","LECTURE","T1030|H1030",90
"EMCB 210",0,"U0222355","SCHMIDT, C. M.","CP SC 1020-002","Introduction to C++","DISCUSSION","W0930",810
"EMCB 210",0,"U0222355","SCHMIDT, C. M.","CP SC 1020-003","Introduction to C++","DISCUSSION","W1130",90
"EMCB 210",0,"U0222355","SCHMIDT, C. M.","CP SC 1020-004","Introduction to C++","DISCUSSION","W1330",90
"EMCB 101",0,"U0033742","WALTER, D. C.","CP SC 1021-001","Introduction to Java","LECTURE","M1030|W1030",90
"EMCB 210",0,"U0033742","WALTER, D. C.","CP SC 1021-002","Introduction to Java","LABORATORY","T0930",90
"EMCB 210",0,"U0033742","WALTER, D. C.","CP SC 1021-003","Introduction to Java","LABORATORY","T1130",90
"EMCB 210",0,"U0033742","WALTER, D. C.","CP SC 1021-004","Introduction to Java","LABORATORY","T1330",90
"EMCB 210",0,"U0033742","WALTER, D. C.","CP SC 1021-005","Introduction to Java","LABORATORY","T1530",90
